time,meeting,origin,dest,count
2021-01-01,iccv,13,13,12
2023-01-01,nips,9,9,12
2021-01-01,aaai,60,60,12
2024-01-01,icml,12,5,12
2023-01-01,ijcai,26,26,12
2022-01-01,aaai,30,30,12
2024-01-01,corl,36,36,12
2023-01-01,emnlp,178,178,12
2021-01-01,aaai,30,30,12
2024-01-01,www,10,10,12
2022-01-01,aaai,44,44,12
2021-01-01,cvpr,5,5,12
2022-01-01,emnlp,10,10,12
2021-01-01,cvpr,8,8,12
2022-01-01,cvpr,42,42,12
2024-01-01,ijcai,32,32,12
2023-01-01,cvpr,0,0,12
2021-01-01,aaai,6,6,12
2023-01-01,acl,5,5,12
2022-01-01,cvpr,25,25,12
2021-01-01,iccv,16,16,12
2023-01-01,aaai,109,109,11
2025-01-01,iclr,140,140,11
2023-01-01,iccv,13,13,11
2025-01-01,iclr,109,109,11
2021-01-01,iclr,16,9,11
2024-01-01,aaai,150,150,11
2024-01-01,ijcai,85,85,11
2021-01-01,ijcai,103,103,11
2021-01-01,acl,437,437,11
2023-01-01,iccv,0,0,11
2025-01-01,aaai,150,150,11
2024-01-01,corl,41,41,11
2023-01-01,icml,16,16,11
2023-01-01,iclr,6,5,11
2024-01-01,nips,171,171,11
2023-01-01,iclr,178,178,11
2024-01-01,iclr,156,156,11
2024-01-01,acl,36,36,11
2024-01-01,cvpr,30,30,11
2023-01-01,iclr,12,9,11
2022-01-01,aaai,36,36,11
2022-01-01,acl,30,30,11
2022-01-01,cvpr,54,54,11
2021-01-01,acl,30,30,11
2023-01-01,icml,4,4,11
2024-01-01,aaai,41,41,11
2021-01-01,cvpr,30,30,11
2024-01-01,cvpr,7,7,11
2024-01-01,emnlp,4,4,11
2024-01-01,nips,4,4,11
2024-01-01,nips,156,156,11
2021-01-01,emnlp,36,36,11
2022-01-01,iclr,27,27,11
2021-01-01,ijcai,26,26,11
2024-01-01,emnlp,44,44,11
2024-01-01,nips,182,182,11
2021-01-01,iccv,5,5,11
2024-01-01,corl,30,30,11
2024-01-01,nips,14,14,11
2021-01-01,emnlp,13,13,11
2021-01-01,iclr,27,27,10
2024-01-01,iclr,12,30,10
2023-01-01,cvpr,14,14,10
2023-01-01,emnlp,60,60,10
2022-01-01,nips,12,9,10
2024-01-01,iclr,51,51,10
2021-01-01,acl,9,9,10
2024-01-01,cvpr,142,142,10
2025-01-01,aaai,55,55,10
2024-01-01,aaai,74,74,10
2024-01-01,aaai,66,66,10
2023-01-01,siggraphasia,6,6,10
2021-01-01,aaai,30,9,10
2024-01-01,emnlp,6,6,10
2023-01-01,siggraphasia,7,7,10
2022-01-01,emnlp,12,36,10
2024-01-01,aaai,18,18,10
2023-01-01,nips,30,5,10
2021-01-01,cvpr,7,7,10
2021-01-01,cvpr,181,181,10
2024-01-01,corl,12,5,10
2024-01-01,acmmm,141,141,10
2022-01-01,iclr,42,42,10
2022-01-01,iclr,37,37,10
2023-01-01,iclr,171,171,10
2023-01-01,nips,16,9,10
2023-01-01,nips,44,44,10
2024-01-01,nips,37,357,10
2022-01-01,iclr,36,36,10
2023-01-01,nips,9,16,10
2024-01-01,nips,85,85,10
2024-01-01,cvpr,11,11,10
2021-01-01,cvpr,16,16,10
2021-01-01,emnlp,9,9,10
2023-01-01,iclr,37,357,10
2024-01-01,iclr,12,178,10
2024-01-01,iclr,6,5,10
2022-01-01,iclr,214,214,10
2023-01-01,nips,5,30,10
2023-01-01,emnlp,4,4,10
2024-01-01,iclr,5,12,10
2025-01-01,iclr,0,16,10
2023-01-01,emnlp,30,178,10
2021-01-01,ijcai,10,10,10
2022-01-01,acl,57,57,10
2024-01-01,ijcai,55,55,10
2023-01-01,corl,12,5,10
2025-01-01,iclr,30,178,10
2023-01-01,acl,13,13,10
2023-01-01,acl,9,9,10
2023-01-01,corl,4,4,10
2023-01-01,aaai,217,217,9
2024-01-01,emnlp,174,174,9
2024-01-01,ijcai,140,140,9
2021-01-01,acl,0,0,9
2022-01-01,nips,192,192,9
2023-01-01,cvpr,34,9,9
2021-01-01,iclr,55,55,9
2024-01-01,nips,55,55,9
2025-01-01,iclr,11,11,9
2023-01-01,emnlp,12,16,9
2023-01-01,cvpr,181,181,9
2021-01-01,ijcai,9,9,9
2021-01-01,ijcai,32,32,9
2025-01-01,aaai,141,141,9
2023-01-01,icml,38,16,9
2023-01-01,iclr,30,178,9
2024-01-01,icml,4,4,9
2024-01-01,acmmm,85,85,9
2022-01-01,aaai,8,8,9
2022-01-01,aaai,25,25,9
2024-01-01,colm,16,16,9
2025-01-01,aaai,6,6,9
2023-01-01,nips,12,36,9
2023-01-01,ijcai,229,229,9
2025-01-01,aaai,40,51,9
2022-01-01,emnlp,57,57,9
2023-01-01,nips,32,32,9
2022-01-01,ijcai,171,171,9
2024-01-01,siggraphasia,0,0,9
2024-01-01,cvpr,4,5,9
2024-01-01,nips,357,37,9
2024-01-01,siggraphasia,30,30,9
2021-01-01,cvpr,41,41,9
2024-01-01,icml,57,57,9
2025-01-01,aaai,24,24,9
2021-01-01,corl,6,6,9
2023-01-01,iccv,7,7,9
2023-01-01,iccv,77,77,9
2023-01-01,siggraphasia,41,41,9
2022-01-01,aaai,60,60,9
2024-01-01,emnlp,192,192,9
2025-01-01,iclr,40,40,9
2021-01-01,iclr,25,25,9
2021-01-01,iclr,30,5,9
2021-01-01,iclr,171,171,9
2023-01-01,aaai,37,37,9
2025-01-01,aaai,105,105,9
