name,latitude,longitude,country
" University of Toronto, Samsung Toronto AI Research Center, Vector Institute for Artiﬁcial Intelligence",,,
" School of Computer Science and Centre for Intelligent Machines, McGill University",,,
"Universit ´e Cˆote d’Azur, Inria",,,
" Valeo.ai & LIGM, Ecole des Ponts, Univ Gustave Eiffel, CNRS, Marne-la-Vall ´ee, France",,,
University of Michigan,42.27756,-83.74088,US
"Shanghai Key Laboratory of Intelligent Information Processing, School of Computer Science, Fudan University",,,
The University of Texas at Austin,30.26715,-97.74306,US
"University of Science and Technology of China, China",,,
" Baidu Inc., China",,,
" Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, China, Key Laboratory of Computational Neuroscience and Brain-Inspired Intelligence (Fudan University), Ministry of Education, China",,,
"Computer Science and Software Engineering, The University of Western Australia",,,
"University at Albany, State University of New York, Albany, NY, USA",,,
" Tencent Youtu Lab, Beijing, China",,,
" Beihang University, Beijing, China",,,
" State Key Laboratory of Computer Science, ISCAS, Beijing, China",,,
" JD Finance America Corporation, Mountain View, CA, USA",,,
" University of Chinese Academy of Sciences, Beijing, China",,,
University of Dayton,39.75895,-84.19161,US
University of North Carolina at Charlotte,35.22709,-80.84313,US
"School of Computer Science and Technology, Dalian University of Technology",,,
" School of Electrical and Information Engineering, Tianjin University",,,
" School of Information Science and Technology, University of Science and Technology of China",,,
" School of Information Engineering, Zhengzhou University",,,
"School of Computer Science & Technology, Huazhong University of Science & Technology, China",,,
" Farsee2 Technology Ltd, China",,,
" University of South Carolina, USA",,,
" School of Computer Science & Technology, Huazhong University of Science & Technology, China",,,
Singapore University of Technology and Design (SUTD),,,
"Department of Computer Science, ETH Zurich",,,
" DisneyResearch |Studios, Zurich",,,
Dalian University of Technology,38.91222,121.60222,CN
Zhengzhou University,34.75778,113.64861,CN
Dalian University of Technology,38.91222,121.60222,CN
 MEGVII Technology,,,
Singapore University of Technology and Design,1.28967,103.85007,SG
Google AI Healthcare,,,
 Google Inc.,,,
"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",,,
" School of Automation and Electrical Engineering, University of Science and Technology Beijing",,,
" National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",,,
Horizon Robotics (China),39.9075,116.39723,
" School of Artiﬁcial Intelligence, University of Chinese Academy of Sciences",,,
"Habana-Labs, Caesarea, Israel",,,
" Department of Computer Science, ETH Zurich, Switzerland",,,
" Department of Electrical Engineering, Technion, Haifa, Israel",,,
Memorial Sloan Kettering Cancer Center,40.71427,-74.00597,US
"Center for Future Media, University of Electronic Science and Technology of China, China",,,
" Inception Institute of Artiﬁcial Intelligence (IIAI), Abu Dhabi, UAE",,,
" University of Toronto, Vector Institute, NVIDIA",,,
Tongji University,31.22222,121.45806,CN
Tsinghua University,39.9075,116.39723,CN
Toyota Research Institute,37.44188,-122.14302,
"AI Platform, Ytech Seattle AI Lab, FeDA Lab, Kwai Inc., Seattle, USA",,,
" Department of Computer Science, University of Rochester, Rochester, USA",,,
Institute for interdisciplinary Information Core Technology,,,
FaceSoft.io,,,
" Imperial College London, UK",,,
Weizmann Institute of Science,31.89421,34.81199,IL
Zhengzhou University,34.75778,113.64861,CN
Zhejiang University,30.29365,120.16142,CN
Waseda University,35.6895,139.69171,JP
 Megvii Technology,,,
Nanjing University,32.06167,118.77778,CN
Cornell University,42.44063,-76.49661,US
 UC Berkeley,,,
" Element, Inc.",,,
UC San Diego Health System,32.71571,-117.16472,US
National Taiwan University,25.05306,121.52639,TW
Simon Fraser University,49.26636,-122.95263,CA
University of Central Florida,28.53834,-81.37924,US
